3,84;-0,0111899;14086;-29,8766;155,914;43,4001;58,1396;324,02;-878,75;0;3,84;23760400
3,88;-0,0111899;14090;-30,4688;155,491;43,6173;58,169;324,044;-878,83;0;3,88;23760800
3,92;-0,0111899;14097;-31,5661;154,676;43,9376;58,2859;324,23;-879,3;0;3,92;23761200
3,96;-0,0111899;14101;-31,8778;154,077;44,1509;58,1792;324,386;-879,544;0;3,96;23761600
4;-0,01119;14105;-32,2318;153,343;44,5145;58,0528;324,591;-879,726;0;4;23762000
4,04;-0,01119;14112;-32,9075;151,94;45,6518;57,883;324,944;-879,272;0;4,04;23762400
4,08;-0,0111901;14116;-33,2984;150,924;46,3892;57,8567;325,129;-879,116;0;4,08;23762800
4,12;-0,0111902;14120;-33,69;149,64;47,0224;57,9625;325,353;-878,828;0;4,12;23763200
4,16;-0,0111903;14124;-33,9321;147,865;47,6641;58,0146;325,467;-878,606;0;4,16;23763600
4,2;-0,0111904;14131;-34,4872;143,491;48,8696;58,1299;325,666;-877,992;0;4,2;23764000
4,24;-0,0111905;14135;-34,7897;140,517;49,6365;58,1915;325,783;-877,79;0;4,24;23764400
4,28;-0,0111906;14140;-35,1363;137,066;50,6399;58,2505;325,977;-877,454;0;4,28;23764800
4,32;-0,0111908;14144;-35,4169;134,596;51,3663;58,3427;326,108;-877,284;0;4,32;23765200
4,36;-0,0111909;14150;-35,7404;131,385;52,4909;58,3657;326,384;-877,296;0;4,36;23765600
4,4;-0,0111911;14154;-35,9822;129,684;53,1912;58,4613;326,622;-877,254;0;4,4;23766000
4,44;-0,0111912;14157;-36,1213;128,575;53,703;58,5425;326,766;-877,46;0;4,44;23766400
4,48;-0,0111914;14165;-36,4399;125,796;55,1735;58,8219;327,219;-878,524;0;4,48;23766800
4,52;-0,0111915;14169;-36,5171;124,38;56,0211;58,913;327,441;-879,352;0;4,52;23767200
4,56;-0,0111917;14175;-36,5265;122,255;57,5792;59,0167;327,718;-880,452;0;4,56;23767600
4,6;-0,0111919;14178;-36,5047;121,261;58,6022;59,0404;327,815;-880,764;0;4,6;23768000
4,64;-0,0111921;14182;-36,4632;119,921;60,2851;59,1173;327,966;-881,026;0;4,64;23768400
4,68;-0,0111922;14190;-36,2329;116,743;65,1991;59,402;328,234;-882,294;0;4,68;23768800
4,72;-0,0111924;14194;-35,9169;114,967;69,8855;59,4396;328,407;-883,218;0;4,72;23769200
4,76;-0,0111926;14197;-35,6517;113,735;75,1608;59,4522;328,49;-883,75;0;4,76;23769600
4,8;-0,0111928;14205;-34,7994;110,315;100,932;59,3712;328,78;-886,11;0;4,8;23770000
4,84;-0,011193;14209;-34,1514;108,491;118,996;59,294;328,985;-887,804;0;4,84;23770400
4,88;-0,0111932;14213;-33,2563;106,615;137,683;59,1781;329,11;-889,556;0;4,88;23770800
4,92;-0,0111934;14216;-32,2898;105,34;151,329;59,044;329,24;-890,708;0;4,92;23771200
4,96;-0,0111936;14224;-28,1187;101,451;182,564;58,6457;329,562;-896,653;0;4,96;23771600
5;-0,0111938;14228;-25,1159;99,8481;194,382;58,4185;329,739;-899,163;0;5;23772000
5,04;-0,011194;14232;-22,0094;98,4031;202,726;58,3116;329,885;-901,737;0;5,04;23772400
5,08;-0,0111942;14235;-19,5907;97,4579;207,322;58,2429;330,013;-903,483;0;5,08;23772800
5,12;-0,0111944;14239;-16,3313;96,2108;211,449;58,2052;330,128;-905,673;0;5,12;23773200
5,16;-0,0111946;14247;-10,1425;94,1553;216,369;58,2895;330,406;-909,701;0;5,16;23773600
5,2;-0,0111948;14251;-7,17023;93,3265;218,116;58,3459;330,519;-911,49;0;5,2;23774000
5,24;-0,011195;14255;-4,32693;92,6188;219,353;58,4375;330,645;-913,154;0;5,24;23774400
5,28;-0,0111952;14262;0,347274;91,6431;220,281;58,6295;330,84;-915,526;0;5,28;23774800
5,32;-0,0111954;14266;2,74049;91,269;220,143;58,7839;330,92;-916,594;0;5,32;23775200
5,36;-0,0111956;14270;4,91949;91,1739;219,527;58,9593;331,027;-917,106;0;5,36;23775600
5,4;-0,0101841;14273;6,48964;91,156;218,839;59,0928;331,079;-917,59;0;5,4;23776000
5,44;-0,00917256;14281;10,6932;91,2618;216,257;59,4536;331,264;-918,95;0;5,44;23776400
5,48;-0,00816107;14285;12,7803;91,4517;214,763;59,6604;331,392;-919,628;0;5,48;23776800
5,52;-0,0071496;14289;14,7333;91,7884;213,403;59,8462;331,529;-920,292;0;5,52;23777200
5,56;-0,00613815;14296;17,6469;92,4986;210,938;60,2559;331,772;-921,24;0;5,56;23777600
5,6;-0,00512674;14300;19,3222;92,8051;209,487;60,4846;331,891;-921,704;0;5,6;23778000
5,64;-0,00411537;14304;21,0447;93,0206;207,975;60,749;332,007;-922,226;0;5,64;23778400
5,68;-0,00310404;14311;24,0005;93,2797;205,502;61,1924;332,173;-923,07;0;5,68;23778800
5,72;-0,00209277;14315;25,393;93,3589;204,025;61,4977;332,257;-923,494;0;5,72;23779200
5,76;-0,00108155;14319;26,403;93,402;202,352;61,8813;332,353;-923,832;0;5,76;23779600
5,8;-7,04E-05;14323;27,2232;93,3705;200,499;62,2995;332,421;-924,308;0;5,8;23780000
5,84;0,000940708;14330;28,1928;93,3596;196,709;63,1733;332,528;-924,306;0;5,84;23780400
5,88;0,00195174;14334;28,6224;93,3311;194,366;63,7153;332,57;-924,128;0;5,88;23780800
5,92;0,00296268;14338;28,9991;93,3221;191,984;64,2614;332,607;-923,79;0;5,92;23781200
5,96;0,00397356;14342;29,3739;93,2984;189,683;64,8221;332,633;-923,626;0;5,96;23781600
6;0,00498435;14345;29,6321;93,317;187,939;65,241;332,675;-923,398;0;6;23782000
6,04;0,00599505;14353;30,4001;93,4665;183,621;66,2745;332,735;-922,764;0;6,04;23782400
6,08;0,00700566;14357;30,9374;93,6663;181,796;66,6889;332,793;-922,468;0;6,08;23782800
6,12;0,00801619;14361;31,4267;93,9307;179,995;67,0971;332,837;-922,082;0;6,12;23783200
6,16;0,00902663;14368;32,1193;94,3893;176,718;67,9365;332,929;-921,582;0;6,16;23783600
6,2;0,010037;14372;32,5972;94,6527;174,808;68,4715;332,989;-921,4;0;6,2;23784000
6,24;0,0110472;14376;33,0897;94,9821;173,08;69,0207;333,055;-921,456;0;6,24;23784400
6,28;0,0112986;14383;33,7196;95,8217;170,277;70,1929;333,217;-921,71;0;6,28;23784800
6,32;0,0112969;14387;33,9935;96,5163;168,431;71,0075;333,33;-921,57;0;6,32;23785200
6,36;0,0112952;14391;34,403;97,3871;166,594;71,8298;333,436;-921,438;0;6,36;23785600
6,4;0,0112933;14399;35,4767;99,6884;163,318;73,5579;333,67;-921,42;0;6,4;23786000
6,44;0,0112914;14402;35,9685;100,696;162,323;74,176;333,76;-921,538;0;6,44;23786400
6,48;0,0112894;14406;36,6304;102,145;161,109;75,0047;333,901;-921,798;0;6,48;23786800
6,52;0,0112874;14410;37,3378;103,623;160,106;75,6979;334,023;-922,144;0;6,52;23787200
6,56;0,0112853;14414;37,9669;105,175;159,022;76,4258;334,154;-922,368;0;6,56;23787600
6,6;0,0112831;14421;38,8513;107,807;157,199;77,7138;334,363;-922,356;0;6,6;23788000
6,64;0,0112809;14425;39,2394;109,181;156,316;78,4011;334,467;-922,208;0;6,64;23788400
6,68;0,0112787;14429;39,5799;110,477;155,507;79,0334;334,567;-921,98;0;6,68;23788800
6,72;0,0112764;14436;40,0017;112,317;154,017;80,1588;334,697;-921,378;0;6,72;23789200
6,76;0,0112741;14440;40,217;113,122;153,184;80,7319;334,772;-921,114;0;6,76;23789600
